gene,gene_name,geneID,transcriptID,RFP_Nterm-wt_fc,RFP_Nterm-wt_sig,RFP_Nterm-wt_FDR,RNA_Nterm-wt_fc,RNA_Nterm-wt_sig,RNA_Nterm-wt_FDR,entrez,group
LRRC20_ENSG00000172731_ENST00000446961,LRRC20,ENSG00000172731,ENST00000446961,-0.0242386739785436,0,0.925734902500811,-0.0303013079454075,0,0.75459197272772,55222,0
KCTD3_ENSG00000136636_ENST00000259154,KCTD3,ENSG00000136636,ENST00000259154,-0.155742097743945,0,0.185379709373333,-0.0213091234366374,0,0.785553111271583,51133,0
RBM5_ENSG00000003756_ENST00000347869,RBM5,ENSG00000003756,ENST00000347869,-0.0677347124261338,0,0.522405000171495,0.0875792055396714,0,0.304720233708999,10181,0
UPF3A_ENSG00000169062_ENST00000375299,UPF3A,ENSG00000169062,ENST00000375299,0.00691096508843092,0,0.969222569107477,-0.104430388025355,0,0.263320021481944,65110,0
HLCS_ENSG00000159267_ENST00000674895,HLCS,ENSG00000159267,ENST00000674895,-0.0551558117267277,0,0.702799569281245,-0.105152821710293,0,0.220137491956586,3141,0
YES1_ENSG00000176105_ENST00000314574,YES1,ENSG00000176105,ENST00000314574,-0.307917000598802,-1,0.019620725273135,-0.346874129188155,-1,0.00717028499065967,7525,3
ERCC1_ENSG00000012061_ENST00000300853,ERCC1,ENSG00000012061,ENST00000300853,-0.0755990829332847,0,0.61552860919606,-0.0315079987680882,0,0.724204668806345,2067,0
LRCH4_ENSG00000077454_ENST00000310300,LRCH4,ENSG00000077454,ENST00000310300,-0.120183694514486,0,0.37952057494955,-0.158657632165448,0,0.130280307812699,4034,0
ING4_ENSG00000111653_ENST00000341550,ING4,ENSG00000111653,ENST00000341550,0.0349594269377267,0,0.801291669431985,0.0110954404314123,0,0.912018588643437,51147,0
BUD23_ENSG00000071462_ENST00000265758,BUD23,ENSG00000071462,ENST00000265758,0.0445081095406916,0,0.785933232868544,0.0332467112348223,0,0.805694074577544,114049,0
RING1_ENSG00000204227_ENST00000374656,RING1,ENSG00000204227,ENST00000374656,0.105667377052324,0,0.39650411450231,-0.139885037037444,0,0.214761302148141,6015,0
ZNF768_ENSG00000169957_ENST00000380412,ZNF768,ENSG00000169957,ENST00000380412,0.0898103710081868,0,0.456453950261171,0.0920602767673078,0,0.200839162916629,79724,0
CLIP4_ENSG00000115295_ENST00000320081,CLIP4,ENSG00000115295,ENST00000320081,0.0370268334646724,0,0.853393890853757,0.218492787845613,0,0.142896885306394,79745,0
RNGTT_ENSG00000111880_ENST00000369485,RNGTT,ENSG00000111880,ENST00000369485,-0.0101124424753234,0,0.947739499846788,-0.0224991268872019,0,0.825159197760137,8732,0
CLUH_ENSG00000132361_ENST00000651024,CLUH,ENSG00000132361,ENST00000651024,0.0233136025571072,0,0.870774195510558,0.00443237636474869,0,0.958850799760411,23277,0
MPND_ENSG00000008382_ENST00000599840,MPND,ENSG00000008382,ENST00000599840,0.241962365941808,0,0.136661635829893,0.0264221691688293,0,0.857292986356398,84954,0
ZBTB45_ENSG00000119574_ENST00000594051,ZBTB45,ENSG00000119574,ENST00000594051,0.172608531481351,0,0.13808593729446,-0.0123814372109754,0,0.934411749189472,84878,0
SLC2A13_ENSG00000151229_ENST00000280871,SLC2A13,ENSG00000151229,ENST00000280871,-0.142489777669986,0,0.315509907621472,-0.0532817026046528,0,0.679721663206837,114134,0
FAM3C_ENSG00000196937_ENST00000359943,FAM3C,ENSG00000196937,ENST00000359943,0.0384054800428091,0,0.766860396613264,-0.0601590765510078,0,0.406895508335314,10447,0
BTBD9_ENSG00000183826_ENST00000481247,BTBD9,ENSG00000183826,ENST00000481247,0.104426522666501,0,0.416784958404861,0.141875621661468,0,0.12561810359061,114781,0
GPCPD1_ENSG00000125772_ENST00000379019,GPCPD1,ENSG00000125772,ENST00000379019,-0.446426158608538,-1,0.00408387123211207,-0.301643127504537,-1,0.00395531688032388,56261,3
TNIK_ENSG00000154310_ENST00000436636,TNIK,ENSG00000154310,ENST00000436636,0.290856560887562,1,0.0131812798857662,0.257636483108641,1,0.0128011148256547,23043,3
CELSR3_ENSG00000008300_ENST00000164024,CELSR3,ENSG00000008300,ENST00000164024,0.106965054851336,0,0.355049888193012,0.156321276460546,1,0.0467968726725614,1951,1
CSTB_ENSG00000160213_ENST00000291568,CSTB,ENSG00000160213,ENST00000291568,-0.016377051732352,0,0.934804597473768,-0.208084522047383,-1,0.0543387096109553,1476,1
CADM1_ENSG00000182985_ENST00000331581,CADM1,ENSG00000182985,ENST00000331581,0.0819525452820251,0,0.470459748679222,0.093036828512945,1,0.0821209754132981,23705,1
TMEM131_ENSG00000075568_ENST00000186436,TMEM131,ENSG00000075568,ENST00000186436,-0.205655437158532,-1,0.0628154904536195,-0.121551215446653,0,0.123720952108935,23505,2
BCOR_ENSG00000183337_ENST00000378444,BCOR,ENSG00000183337,ENST00000378444,0.0909451073038463,0,0.359691083581263,0.103669952559127,0,0.133279813159929,54880,0
COL9A3_ENSG00000092758_ENST00000649368,COL9A3,ENSG00000092758,ENST00000649368,-1.70514754269094,-1,2.05861466379948e-06,-1.65140522226044,-1,0.000433708245530018,1299,3
TRAPPC2L_ENSG00000167515_ENST00000696289,TRAPPC2L,ENSG00000167515,ENST00000696289,-0.0234273096373716,0,0.885212371241713,0.0498174200536594,0,0.662868044757714,51693,0
CDK5R1_ENSG00000176749_ENST00000313401,CDK5R1,ENSG00000176749,ENST00000313401,0.234596169981933,1,0.031983966156711,0.187644298820949,1,0.0256832740297179,8851,3
RARS2_ENSG00000146282_ENST00000369536,RARS2,ENSG00000146282,ENST00000369536,-0.147635318395189,0,0.254694598528211,-0.0748019424098212,0,0.348573731729963,57038,0
EPS15_ENSG00000085832_ENST00000371733,EPS15,ENSG00000085832,ENST00000371733,0.0335545659656802,0,0.797167890367117,0.0759163109057361,0,0.164697012561059,2060,0
PDHX_ENSG00000110435_ENST00000227868,PDHX,ENSG00000110435,ENST00000227868,0.0428133248123928,0,0.750328696466953,0.00663670033927843,0,0.948620073973968,8050,0
SCOC_ENSG00000153130_ENST00000608372,SCOC,ENSG00000153130,ENST00000608372,-0.0510323243454138,0,0.754513443721232,0.00389934923365143,0,0.953910608079401,60592,0
AFTPH_ENSG00000119844_ENST00000409933,AFTPH,ENSG00000119844,ENST00000409933,0.0674926074522304,0,0.662694752074177,0.110245352625587,0,0.123278332027628,54812,0
YIPF6_ENSG00000181704_ENST00000462683,YIPF6,ENSG00000181704,ENST00000462683,-0.139822468054026,0,0.254354041252643,0.0423810026533991,0,0.546033597658602,286451,0
XYLT1_ENSG00000103489_ENST00000261381,XYLT1,ENSG00000103489,ENST00000261381,0.0158290144871316,0,0.955151625005922,-0.113765273859411,0,0.383166360555604,64131,0
FAM102B_ENSG00000162636_ENST00000370035,FAM102B,ENSG00000162636,ENST00000370035,0.134522171276842,0,0.272881062373958,0.102992806181919,0,0.13148621554556,284611,0
PSTPIP2_ENSG00000152229_ENST00000409746,PSTPIP2,ENSG00000152229,ENST00000409746,-0.0195036038617094,0,0.90648142133959,0.0280392177965734,0,0.799520236537394,9050,0
HEPH_ENSG00000089472_ENST00000343002,HEPH,ENSG00000089472,ENST00000343002,-0.207052202255396,-1,0.0828873949749452,-0.178220746219584,0,0.113524095252801,9843,2
ULK3_ENSG00000140474_ENST00000440863,ULK3,ENSG00000140474,ENST00000440863,0.213629030364931,0,0.279349640761873,-0.0248851420482685,0,0.812267410844279,25989,0
ZBTB24_ENSG00000112365_ENST00000230122,ZBTB24,ENSG00000112365,ENST00000230122,-0.116766701311725,0,0.498610391892801,-0.135999647319453,0,0.225647308274933,9841,0
MAPT_ENSG00000186868_ENST00000262410,MAPT,ENSG00000186868,ENST00000262410,0.187292314613286,0,0.144362239728842,0.159744194136737,1,0.031294915013053,4137,1
SGF29_ENSG00000176476_ENST00000317058,SGF29,ENSG00000176476,ENST00000317058,0.141728040054288,0,0.370613275189554,-0.127588992006094,0,0.41388085989683,112869,0
HAUS1_ENSG00000152240_ENST00000282058,HAUS1,ENSG00000152240,ENST00000282058,-0.0815941429928255,0,0.608368540612857,-0.187078143322928,0,0.108761671707863,115106,0
STXBP3_ENSG00000116266_ENST00000370008,STXBP3,ENSG00000116266,ENST00000370008,-0.34152567542379,-1,0.0157330579503699,-0.207913221302825,-1,0.0830191265216317,6814,3
DBNL_ENSG00000136279_ENST00000448521,DBNL,ENSG00000136279,ENST00000448521,0.177643198063095,0,0.143415547478093,0.144434591395578,1,0.0205114423168796,28988,1
ATM_ENSG00000149311_ENST00000675843,ATM,ENSG00000149311,ENST00000675843,-0.285093238707281,-1,0.0250095932276501,-0.0642871152973346,0,0.367613966965123,472,2
TBC1D5_ENSG00000131374_ENST00000696125,TBC1D5,ENSG00000131374,ENST00000696125,-0.0884093361849692,0,0.468999160576385,-0.00290033001271972,0,0.970328630735075,9779,0
FAM168B_ENSG00000152102_ENST00000389915,FAM168B,ENSG00000152102,ENST00000389915,0.0528144605574763,0,0.631659177819379,0.0679082282489807,0,0.233438361341658,130074,0
SNF8_ENSG00000159210_ENST00000502492,SNF8,ENSG00000159210,ENST00000502492,0.218052017561879,1,0.0645023227448464,0.04842132726787,0,0.540498100665102,11267,2
KMT2C_ENSG00000055609_ENST00000262189,KMT2C,ENSG00000055609,ENST00000262189,0.107903737880403,0,0.400126526264149,0.184238734492792,1,0.020998712579643,58508,1
PATZ1_ENSG00000100105_ENST00000266269,PATZ1,ENSG00000100105,ENST00000266269,0.156657905777902,0,0.118804157022521,0.015445071319669,0,0.885368895510956,23598,0
NACA_ENSG00000196531_ENST00000454682,NACA,ENSG00000196531,ENST00000454682,0.0897228476045342,0,0.548619793517628,-0.133172410483175,-1,0.0298355028260477,4666,1
GOLPH3L_ENSG00000143457_ENST00000271732,GOLPH3L,ENSG00000143457,ENST00000271732,-0.139360433645202,0,0.373090163498052,-0.0725146236112666,0,0.583226046955412,55204,0
TRAPPC8_ENSG00000153339_ENST00000283351,TRAPPC8,ENSG00000153339,ENST00000283351,0.0155385187707386,0,0.933170138557256,0.0769463667575483,0,0.308555160057964,22878,0
RBFOX3_ENSG00000167281_ENST00000693108,RBFOX3,ENSG00000167281,ENST00000693108,0.137518473985892,0,0.445378880706115,0.0336412690005092,0,0.770682243532102,146713,0
GSN_ENSG00000148180_ENST00000432226,GSN,ENSG00000148180,ENST00000432226,-0.65673391887362,-1,0.000168247804674483,-0.769925674494716,-1,0.000741271342618339,2934,3
CDC42SE1_ENSG00000197622_ENST00000357235,CDC42SE1,ENSG00000197622,ENST00000357235,-0.117867629982818,0,0.444651064308775,-0.0657748850442523,0,0.286219698581222,56882,0
SPINDOC_ENSG00000168005_ENST00000294244,SPINDOC,ENSG00000168005,ENST00000294244,0.14943597613048,0,0.180447559845382,0.0431848335379605,0,0.603386273858964,144097,0
TTBK1_ENSG00000146216_ENST00000259750,TTBK1,ENSG00000146216,ENST00000259750,0.289370772363217,1,0.036648055454947,0.104569922009204,0,0.193344321324148,84630,2
NME7_ENSG00000143156_ENST00000367811,NME7,ENSG00000143156,ENST00000367811,-0.00501998223648492,0,0.981345517914947,0.0357453448538938,0,0.820103062009404,29922,0
ALDH4A1_ENSG00000159423_ENST00000375341,ALDH4A1,ENSG00000159423,ENST00000375341,0.0184834050375748,0,0.925871522234056,-0.0459577569765122,0,0.734225111600238,8659,0
RBM4_ENSG00000173933_ENST00000310092,RBM4,ENSG00000173933,ENST00000310092,0.129061312283404,0,0.386530257872993,0.0385585734978964,0,0.53468572579374,5936,0
PSD_ENSG00000059915_ENST00000020673,PSD,ENSG00000059915,ENST00000020673,0.261207060989365,1,0.0393857075152898,0.0997586126962346,0,0.277008658159717,5662,2
MEX3B_ENSG00000183496_ENST00000329713,MEX3B,ENSG00000183496,ENST00000329713,0.116028543205773,0,0.371282000932405,0.111105666205208,0,0.126545598621406,84206,0
CHRNA4_ENSG00000101204_ENST00000370263,CHRNA4,ENSG00000101204,ENST00000370263,0.0143420600173441,0,0.937932530544888,0.0652064279880786,0,0.490803417771755,1137,0
TYMS_ENSG00000176890_ENST00000323274,TYMS,ENSG00000176890,ENST00000323274,-0.423315073933642,-1,0.00517521216365066,-0.525625267610082,-1,0.00176611292737285,7298,3
KCNJ6_ENSG00000157542_ENST00000609713,KCNJ6,ENSG00000157542,ENST00000609713,0.0716306762231831,0,0.674387174414767,0.277715714576382,1,0.0368423509561888,3763,1
ICA1_ENSG00000003147_ENST00000402384,ICA1,ENSG00000003147,ENST00000402384,-0.603323693045273,-1,0.00171197585162975,-0.473669642514509,-1,0.00319350400157621,3382,3
TTF1_ENSG00000125482_ENST00000334270,TTF1,ENSG00000125482,ENST00000334270,-0.0911436308660489,0,0.534984635690873,-0.124478778965792,0,0.143587784715253,7270,0
APC_ENSG00000134982_ENST00000257430,APC,ENSG00000134982,ENST00000257430,0.119503006287657,0,0.344741088931802,0.238684339906801,1,0.00289273884661932,324,1
KMT2B_ENSG00000272333_ENST00000420124,KMT2B,ENSG00000272333,ENST00000420124,0.122490063223474,0,0.309631847498309,0.0339004155324272,0,0.608780504378632,9757,0
RELB_ENSG00000104856_ENST00000221452,RELB,ENSG00000104856,ENST00000221452,-0.415621156262772,-1,0.0433636671732829,-0.304518230362069,-1,0.0482229406176603,5971,3
KCTD8_ENSG00000183783_ENST00000360029,KCTD8,ENSG00000183783,ENST00000360029,0.272359278748763,1,0.0943000093259342,NA,NA,NA,386617,2
GTF2I_ENSG00000263001_ENST00000573035,GTF2I,ENSG00000263001,ENST00000573035,0.168645261952603,0,0.17420417148519,0.136730230307558,1,0.034551340284151,2969,1
PPHLN1_ENSG00000134283_ENST00000358314,PPHLN1,ENSG00000134283,ENST00000358314,-0.152473399267274,0,0.130517487440265,-0.0411897591041734,0,0.715568378550911,51535,0
PKP2_ENSG00000057294_ENST00000340811,PKP2,ENSG00000057294,ENST00000340811,-0.353727852098198,-1,0.00383890985086304,-0.37083596676754,-1,0.013384716160272,5318,3
IPP_ENSG00000197429_ENST00000396478,IPP,ENSG00000197429,ENST00000396478,-0.176679414180001,0,0.245239048874382,-0.184245510443294,0,0.133258882052292,3652,0
CIB2_ENSG00000136425_ENST00000258930,CIB2,ENSG00000136425,ENST00000258930,0.243776771017349,1,0.0992027107469401,0.0761074401030815,0,0.475439588784961,10518,2
PBX2_ENSG00000204304_ENST00000375050,PBX2,ENSG00000204304,ENST00000375050,0.0306863265357427,0,0.827503230156013,-0.131299073184368,-1,0.042047079742536,5089,1
MBNL3_ENSG00000076770_ENST00000370853,MBNL3,ENSG00000076770,ENST00000370853,-0.943641694322328,-1,0.00010390983543154,NA,NA,NA,55796,2
TSPAN13_ENSG00000106537_ENST00000262067,TSPAN13,ENSG00000106537,ENST00000262067,0.21882607974743,1,0.0350262009259772,0.0937821503779412,0,0.121701159612502,27075,2
CEP95_ENSG00000258890_ENST00000556440,CEP95,ENSG00000258890,ENST00000556440,-0.0335789981666457,0,0.870081265278602,-0.0204166201873033,0,0.867332870015808,90799,0
DNAJC8_ENSG00000126698_ENST00000263697,DNAJC8,ENSG00000126698,ENST00000263697,0.0454760305552613,0,0.710324383924074,-0.00874380814274467,0,0.905696965706739,22826,0
ARRB2_ENSG00000141480_ENST00000269260,ARRB2,ENSG00000141480,ENST00000269260,0.0305531867593238,0,0.818592959323425,0.00589137318611588,0,0.944721188128145,409,0
PIKFYVE_ENSG00000115020_ENST00000264380,PIKFYVE,ENSG00000115020,ENST00000264380,0.045474995016944,0,0.791527760292907,0.0621627740488329,0,0.54984574540386,200576,0
PPRC1_ENSG00000148840_ENST00000278070,PPRC1,ENSG00000148840,ENST00000278070,0.0695765630811573,0,0.585712278648474,-0.0766641264577412,0,0.32172559646421,23082,0
AGPAT3_ENSG00000160216_ENST00000291572,AGPAT3,ENSG00000160216,ENST00000291572,0.0606039540308725,0,0.779569581636865,-0.103198567516631,0,0.253524440624937,56894,0
TPRG1L_ENSG00000158109_ENST00000378344,TPRG1L,ENSG00000158109,ENST00000378344,0.0271348364358106,0,0.852805701516086,-0.0945990524904659,0,0.235909772429026,127262,0
HIPK2_ENSG00000064393_ENST00000406875,HIPK2,ENSG00000064393,ENST00000406875,0.247732935149223,1,0.0221570386570997,0.32958698108524,1,0.00833468063300567,28996,3
SMC1A_ENSG00000072501_ENST00000322213,SMC1A,ENSG00000072501,ENST00000322213,0.00381202219219379,0,0.98852127654682,0.0342004652801577,0,0.589286521818585,8243,0
UBAP1_ENSG00000165006_ENST00000297661,UBAP1,ENSG00000165006,ENST00000297661,-0.0562598125261786,0,0.6610395461267,0.0345801570331847,0,0.662645727745564,51271,0
IER5L_ENSG00000188483_ENST00000372491,IER5L,ENSG00000188483,ENST00000372491,-0.413033094502492,-1,0.002245639716184,-0.755789599730129,-1,0.00258079792115512,389792,3
SURF6_ENSG00000148296_ENST00000372022,SURF6,ENSG00000148296,ENST00000372022,0.0536660087925158,0,0.709685400881465,0.0570941663002706,0,0.384917793930653,6838,0
PABPC4_ENSG00000090621_ENST00000372858,PABPC4,ENSG00000090621,ENST00000372858,0.013689924904785,0,0.921447297330648,-0.113925339934138,-1,0.0733004240279309,8761,1
NABP1_ENSG00000173559_ENST00000425611,NABP1,ENSG00000173559,ENST00000425611,-0.0123640701178829,0,0.964258948357088,-0.142552340863425,0,0.292842805067357,64859,0
CHMP1B_ENSG00000255112_ENST00000526991,CHMP1B,ENSG00000255112,ENST00000526991,-0.0945433492146011,0,0.392311659002922,-0.116114218943098,0,0.154554310992612,57132,0
AGAP2_ENSG00000135439_ENST00000547588,AGAP2,ENSG00000135439,ENST00000547588,0.314022028081836,1,0.0386864961272095,0.191349247784186,1,0.0927856388950136,116986,3
NFKBIL1_ENSG00000204498_ENST00000376148,NFKBIL1,ENSG00000204498,ENST00000376148,0.0493195445795021,0,0.790373166966486,-0.0712596725921069,0,0.521900285686248,4795,0
IKZF4_ENSG00000123411_ENST00000547167,IKZF4,ENSG00000123411,ENST00000547167,0.0439478605848675,0,0.847856190734824,0.165473111746905,0,0.122432892532476,64375,0
AGL_ENSG00000162688_ENST00000361915,AGL,ENSG00000162688,ENST00000361915,-0.0350449527772598,0,0.802476840623116,0.207093786429152,1,0.0427694507121755,178,1
BUD13_ENSG00000137656_ENST00000260210,BUD13,ENSG00000137656,ENST00000260210,0.124949115682373,0,0.456376663416992,0.0479756848989661,0,0.681376348435998,84811,0
DDIT4_ENSG00000168209_ENST00000307365,DDIT4,ENSG00000168209,ENST00000307365,-0.22662832653882,-1,0.0658241897221724,-0.455568943985097,-1,0.00170890588211188,54541,3
GRIN3A_ENSG00000198785_ENST00000361820,GRIN3A,ENSG00000198785,ENST00000361820,0.679595069313404,1,0.00194202931779531,0.539614545402682,1,0.0110501557087774,116443,3
ARMCX6_ENSG00000198960_ENST00000361910,ARMCX6,ENSG00000198960,ENST00000361910,0.0877708282579537,0,0.433382925775567,0.0529729612181402,0,0.584289173249026,54470,0
EIF2B4_ENSG00000115211_ENST00000347454,EIF2B4,ENSG00000115211,ENST00000347454,0.0817269137731742,0,0.529888101131462,0.0433553909119722,0,0.673299574127083,8890,0
NINL_ENSG00000101004_ENST00000278886,NINL,ENSG00000101004,ENST00000278886,0.0169076347806181,0,0.937378259791942,0.127114257695701,0,0.232827143062029,22981,0
SORBS2_ENSG00000154556_ENST00000695409,SORBS2,ENSG00000154556,ENST00000695409,0.165307443720438,0,0.148564847514005,0.171910481958542,1,0.0488877957765478,8470,1
CHRNA3_ENSG00000080644_ENST00000326828,CHRNA3,ENSG00000080644,ENST00000326828,-0.0182517856812208,0,0.910563763924899,0.0427974910989644,0,0.735384883491228,1136,0
LAMTOR4_ENSG00000188186_ENST00000341942,LAMTOR4,ENSG00000188186,ENST00000341942,-0.0245470461685224,0,0.867604537905143,-0.127458298461383,0,0.186091179483972,389541,0
HCFC1R1_ENSG00000103145_ENST00000248089,HCFC1R1,ENSG00000103145,ENST00000248089,0.236886563369852,1,0.0850997840249551,0.0168470390588755,0,0.881513423532267,54985,2
S100A13_ENSG00000189171_ENST00000476133,S100A13,ENSG00000189171,ENST00000476133,-0.278727566660683,-1,0.0354559832707973,-0.299170985093967,-1,0.0605702755315113,6284,3
DYRK4_ENSG00000010219_ENST00000543431,DYRK4,ENSG00000010219,ENST00000543431,-0.163452633211311,0,0.401662681224643,NA,NA,NA,8798,0
H4C6_ENSG00000274618_ENST00000244537,H4C6,ENSG00000274618,ENST00000244537,-0.231787999828628,0,0.210422388261572,NA,NA,NA,8361,0
NSD3_ENSG00000147548_ENST00000317025,NSD3,ENSG00000147548,ENST00000317025,0.079061449172098,0,0.468716056783114,0.0484866137631883,0,0.434391395626816,54904,0
ZGPAT_ENSG00000197114_ENST00000355969,ZGPAT,ENSG00000197114,ENST00000355969,0.0920674419023886,0,0.574991772969675,-0.0714283886370763,0,0.599809860707503,84619,0
NCOA6_ENSG00000198646_ENST00000359003,NCOA6,ENSG00000198646,ENST00000359003,0.0455217027263677,0,0.685650806984576,0.153512129808258,1,0.0314095895272223,23054,1
FZD6_ENSG00000164930_ENST00000358755,FZD6,ENSG00000164930,ENST00000358755,-0.303838480537576,-1,0.0574426410360525,-0.209604834249179,0,0.153388798122193,8323,2
ARL1_ENSG00000120805_ENST00000261636,ARL1,ENSG00000120805,ENST00000261636,-0.121252492800426,0,0.299232600449655,-0.0969306926061835,0,0.316878126276745,400,0
ZMPSTE24_ENSG00000084073_ENST00000372759,ZMPSTE24,ENSG00000084073,ENST00000372759,0.280393646695233,1,0.0237066694094248,0.252607243380756,1,0.0100441311970695,10269,3
TNFRSF21_ENSG00000146072_ENST00000296861,TNFRSF21,ENSG00000146072,ENST00000296861,-0.247527044472626,-1,0.0267735355974027,-0.281733940693075,-1,0.00790067947883412,27242,3
NUDT2_ENSG00000164978_ENST00000379158,NUDT2,ENSG00000164978,ENST00000379158,-0.102065076569876,0,0.498587715973324,-0.0238128638415986,0,0.853532510445141,318,0
ZNF605_ENSG00000196458_ENST00000360187,ZNF605,ENSG00000196458,ENST00000360187,0.0549514173053272,0,0.793912907440869,0.225372750537598,1,0.011774908104453,100289635,1
SDC4_ENSG00000124145_ENST00000372733,SDC4,ENSG00000124145,ENST00000372733,-0.201803716361056,-1,0.0995709581384913,-0.455227230655095,-1,0.0049530642085284,6385,3
NAT9_ENSG00000109065_ENST00000357814,NAT9,ENSG00000109065,ENST00000357814,-0.193677374805165,0,0.211118806856395,-0.154996401691428,0,0.165865870947904,26151,0
AMZ2_ENSG00000196704_ENST00000359904,AMZ2,ENSG00000196704,ENST00000359904,-0.201001716360024,0,0.116590254527135,-0.176410189270286,-1,0.0336533689347417,51321,1
TMEM219_ENSG00000149932_ENST00000279396,TMEM219,ENSG00000149932,ENST00000279396,0.186877572491271,0,0.308829089316234,-0.0732390563867771,0,0.49401429936214,124446,0
ZC3H18_ENSG00000158545_ENST00000301011,ZC3H18,ENSG00000158545,ENST00000301011,-0.0894943133483146,0,0.483032040674856,-0.101954475385979,0,0.279090490111619,124245,0
QSER1_ENSG00000060749_ENST00000650167,QSER1,ENSG00000060749,ENST00000650167,-0.127550862022987,0,0.275758853929136,0.0144181791495033,0,0.845874363462645,79832,0
HEATR3_ENSG00000155393_ENST00000299192,HEATR3,ENSG00000155393,ENST00000299192,0.142074541782369,0,0.264789491329905,0.100735595469402,0,0.339269397989618,55027,0
SNX27_ENSG00000143376_ENST00000458013,SNX27,ENSG00000143376,ENST00000458013,0.0419614847461522,0,0.720712657063359,0.0786870683541823,0,0.26132462543797,81609,0
ZNF165_ENSG00000197279_ENST00000683778,ZNF165,ENSG00000197279,ENST00000683778,0.0838413644553295,0,0.733560880518264,-0.120392173087243,0,0.479503594497395,7718,0
SYNJ2_ENSG00000078269_ENST00000355585,SYNJ2,ENSG00000078269,ENST00000355585,-0.606499461677215,-1,0.000742515508190696,-0.548435218976397,-1,0.000556916332955656,8871,3
AFF4_ENSG00000072364_ENST00000265343,AFF4,ENSG00000072364,ENST00000265343,-0.110469801680839,0,0.300184313727879,-0.059874400323908,0,0.301589503277209,27125,0
PRKG2_ENSG00000138669_ENST00000264399,PRKG2,ENSG00000138669,ENST00000264399,-0.140055968596413,0,0.483032040674856,0.0101007062711655,0,0.953231279772614,5593,0
TTC7A_ENSG00000068724_ENST00000319190,TTC7A,ENSG00000068724,ENST00000319190,-0.20628574284892,0,0.147842731934726,-0.13876499417535,0,0.171518956068019,57217,0
