rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 38%1474290	COLLAGEN FORMATION	1.24151557647792e-19	2.33653231493145e-16	-1	1299,1287,4318,4016,169044,977,1508,4017,8985,80781,1514,1277,649,1308,1515,1303,1301,64175,1307,1292,3918,23127,136227,10536,3655,1284,1291,5033,5352,1288,3691,5339,1289,3914,5034,871,5479,5351,55214,26577,10491,1278,79709,8974
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.5	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES	1.62535671472627e-17	1.52946066855742e-14	-1	1299,1287,169044,8985,80781,1277,649,1308,1303,1301,64175,1307,1292,23127,136227,10536,1284,1291,5033,5352,1288,1289,5034,871,5479,5351,55214,26577,10491,1278,79709,8974
COLLAGEN CHAIN TRIMERIZATION%REACTOME%R-HSA-8948216.4	COLLAGEN CHAIN TRIMERIZATION	8.46677576797033e-16	5.31149066510672e-13	-1	1299,1287,169044,80781,1277,1308,1303,1301,1307,1292,136227,1284,1291,1288,1289,1278
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 38%2022090	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES	2.48029987547258e-15	1.16698109140985e-12	-1	1299,1287,4318,4016,977,1508,4017,80781,1514,1277,649,1515,1301,1292,3918,3655,1284,1291,3691,5339,1289,3914,1278
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME DATABASE ID RELEASE 38%1474228	DEGRADATION OF THE EXTRACELLULAR MATRIX	1.03876557216911e-13	3.90991361364453e-11	-1	1299,56999,4318,826,4313,9510,4811,823,999,222663,4325,5045,3339,1508,682,80781,1514,6868,649,827,824,4326,1308,1515,960,1303,50859,1307,80274,3918,5663,136227,23385,1509,4320,836,3911,8754,7076,7077,102,2,3912,3914,3915,4324,4323,6650,726,23473,10893,831,11132,101,8751
LAMININ INTERACTIONS%REACTOME DATABASE ID RELEASE 38%3000157	LAMININ INTERACTIONS	7.46296036528654e-13	2.34088190124488e-10	-1	3685,4811,3339,80781,3688,3918,3655,3911,3673,3691,284217,3672,3679,3912,3914,3915,3675,3913
COLLAGEN DEGRADATION%REACTOME DATABASE ID RELEASE 38%1442490	COLLAGEN DEGRADATION	2.03891253100633e-10	5.48176197621986e-08	-1	1299,4318,4313,5045,1508,80781,1514,6868,1308,1303,1307,136227,1509,4320,8754,102,4324,4323
Inflammatory response pathway%WikiPathways_20230910%WP453%Homo sapiens	Inflammatory response pathway	2.97446520066906e-10	6.99742938457397e-08	-1	7059,3566,7057,1277,7132,3918,958,3911,2335,3912,3915,3913,1278
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS	3.09095579962948e-09	6.46353201655853e-07	1	3422,10682,39,4598,1595,7108,1718,50814,38,2224,6309,2222,3930,3157,90134,9453,6307,1717,3156,51478,6713
ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987	ENDODERMAL CELL DIFFERENTIATION	2.36299279677449e-08	4.26765498096158e-06	-1	3685,4318,4313,9646,54623,29072,3678,79577,1303,1301,6657,3689,1284,8091,1291,123169,2335,3679,3912,3914,4324,4323,3693,23168,3624
