rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
PYRIMIDINE METABOLISM%PATHWHIZ%PW000160	PYRIMIDINE METABOLISM	0.0309335052882879	0.719258052693857	-1	7298,50808,1635,22978,6241,3704,1854,54963,124583,50484,1503,790,10201
BETA-UREIDOPROPIONASE DEFICIENCY%PATHWHIZ%PW000187	BETA-UREIDOPROPIONASE DEFICIENCY	0.0309335052882879	0.719258052693857	-1	7298,50808,1635,22978,6241,3704,1854,54963,124583,50484,1503,790,10201
UMP SYNTHASE DEFICIENCY (OROTIC ACIDURIA)%SMPDB%SMP0000219	UMP SYNTHASE DEFICIENCY (OROTIC ACIDURIA)	0.0309335052882879	0.719258052693857	-1	7298,50808,1635,22978,6241,3704,1854,54963,124583,50484,1503,790,10201
DIHYDROPYRIMIDINASE DEFICIENCY%SMPDB%SMP0000178	DIHYDROPYRIMIDINASE DEFICIENCY	0.0309335052882879	0.719258052693857	-1	7298,50808,1635,22978,6241,3704,1854,54963,124583,50484,1503,790,10201
MNGIE (MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY)%PATHWHIZ%PW000190	MNGIE (MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY)	0.0309335052882879	0.719258052693857	-1	7298,50808,1635,22978,6241,3704,1854,54963,124583,50484,1503,790,10201
REGULATION OF PROTEIN LOCALIZATION TO SYNAPSE%GOBP%GO:1902473	REGULATION OF PROTEIN LOCALIZATION TO SYNAPSE	0.0326940769753539	0.719258052693857	-1	4137,5906,7476,1855,23096,3265,56850,10082,1739,2239,57555
PtdIns(4,5)P2 in cytokinesis pathway%WikiPathways_20230910%WP5199%Homo sapiens	PtdIns(4,5)P2 in cytokinesis pathway	0.0412131196826509	0.719258052693857	1	4478,11021,7430,60312,54443,4735,5962,387,29127,4952
Overview of nanoparticle effects%WikiPathways_20230910%WP3287%Homo sapiens	Overview of nanoparticle effects	0.0467314687859967	0.719258052693857	1	5743,5293,581,1001,3162,1282,4798,2335,896,5747,10000
SIGNALING BY EGFRVIII IN CANCER%REACTOME DATABASE ID RELEASE 38%5637812	SIGNALING BY EGFRVIII IN CANCER	0.0547221137105056	0.719258052693857	-1	2549,3265,6654,5335,11140,3320,4893,1956,5290,5295,6464
CONSTITUTIVE SIGNALING BY EGFRVIII%REACTOME DATABASE ID RELEASE 38%5637810	CONSTITUTIVE SIGNALING BY EGFRVIII	0.0547221137105056	0.719258052693857	-1	2549,3265,6654,5335,11140,3320,4893,1956,5290,5295,6464
CXCR3-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR3-MEDIATED SIGNALING EVENTS	CXCR3-MEDIATED SIGNALING EVENTS	0.0621002634107391	0.719258052693857	1	5894,5600,3265,1432,5170,6714,5595,5594,2770,2775,5604,4893,5606,5605,5608,79109,5290,408,207,64223,54331,5295,253260,1759,2782,2773,2771,5291,3845
CONSTITUTIVE SIGNALING BY LIGAND-RESPONSIVE EGFR CANCER VARIANTS%REACTOME DATABASE ID RELEASE 38%1236382	CONSTITUTIVE SIGNALING BY LIGAND-RESPONSIVE EGFR CANCER VARIANTS	0.0653081363838625	0.719258052693857	-1	2549,3265,6654,5335,11140,3320,4893,7316,7314,1956,5290,7311,5295,6464,6233
SIGNALING BY LIGAND-RESPONSIVE EGFR VARIANTS IN CANCER%REACTOME DATABASE ID RELEASE 38%5637815	SIGNALING BY LIGAND-RESPONSIVE EGFR VARIANTS IN CANCER	0.0653081363838625	0.719258052693857	-1	2549,3265,6654,5335,11140,3320,4893,7316,7314,1956,5290,7311,5295,6464,6233
POSITIVE REGULATION OF MUSCLE CONTRACTION%GOBP%GO:0045933	POSITIVE REGULATION OF MUSCLE CONTRACTION	0.0695356200751067	0.719258052693857	-1	8877,1113,9446,782,2017,6722,5997,2149,2023,10874
