rownames.camera_results.	camera_descr	PValue	FDR	camera_Phenotype	camera_genes
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS	0.000397849579787568	0.995888288971654	-1	8697,25906,27338,25847,29882,79791,8881,246184,119504,996,51433,8452,51529,29945,64682,51343
CONVERSION FROM APC C:CDC20 TO APC C:CDH1 IN LATE ANAPHASE%REACTOME%R-HSA-176407.5	CONVERSION FROM APC C:CDC20 TO APC C:CDH1 IN LATE ANAPHASE	0.001631456604105	0.995888288971654	-1	8697,25906,27338,29882,8881,246184,119504,996,51433,7321,51529,29945,64682,51343,7324
INACTIVATION OF APC C VIA DIRECT INHIBITION OF THE APC C COMPLEX%REACTOME%R-HSA-141430.3	INACTIVATION OF APC C VIA DIRECT INHIBITION OF THE APC C COMPLEX	0.0017042385775839	0.995888288971654	-1	8697,25906,27338,29882,8881,9184,246184,119504,996,51433,7321,51529,29945,64682,7324
INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS%REACTOME DATABASE ID RELEASE 38%141405	INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS	0.0017042385775839	0.995888288971654	-1	8697,25906,27338,29882,8881,9184,246184,119504,996,51433,7321,51529,29945,64682,7324
REGULATION OF T CELL APOPTOTIC PROCESS%GOBP%GO:0070232	REGULATION OF T CELL APOPTOTIC PROCESS	0.00213993848635933	0.995888288971654	1	8772,27166,5588,7157,3958,84524,1831,25865,101,6352
GLYCOGEN STORAGE DISEASES%REACTOME DATABASE ID RELEASE 38%3229121	GLYCOGEN STORAGE DISEASES	0.00286154209613306	0.995888288971654	1	2632,92579,2992,7316,2548,7314,7311,2997,6233,2542,8908,7957
REGULATION OF MEIOTIC CELL CYCLE%GOBP%GO:0051445	REGULATION OF MEIOTIC CELL CYCLE	0.00368316498791969	0.995888288971654	-1	1843,993,56339,8697,25906,23236,25847,29882,22933,5810,8881,246184,119504,996,51433,51529,55743,29945,64682,64848,51343,994,10361
NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002695	NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION	0.00373165279350872	0.995888288971654	1	472,27242,6385,301,3398,9750,4067,64115,2241,1845,51043,3134,6664,10464,11146,5573,865,6422,9984,23208,4345,3958,9231,3659,9655,57045,3133,2737,84524,861,3949,23513,2335,634,7128,3146,145581,5771,23240,4192,55824,2896,1051,149041,6522,3624,4092,10385,387597
HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034113	HETEROTYPIC CELL-CELL ADHESION	0.00387879485826643	0.995888288971654	1	5318,3685,1824,1832,55742,83700,4814,1525,3678,1829,3688,965,4345,3689,3679,7070,3728,3690
NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903038	NEGATIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION	0.00413916750102954	0.995888288971654	1	27242,6385,301,9750,64115,445,1845,51043,9314,11146,5573,865,3958,9231,3659,9655,57045,3133,2737,375056,84524,861,207,23513,634,3146,5771,23240,65125,4192,55824,1051,149041,6522,4092,10385,387597
