"","log2 FC (RNA)","avg(RNA, control)","sd(RNA, control)","avg(RNA, condition Nterm)","sd(RNA, condition Nterm)","edgeR.pval(RNA)","edgeR.pval.mtc(RNA)","log2 FC (RFP)","avg(RFP, control)","sd(RFP, control)","avg(RFP, condition Nterm)","sd(RFP, condition Nterm)","edgeR.pval(RFP)","edgeR.pval.mtc(RFP)","level1Up","level1Down","level2Up","level2Down","UpUp","DownUp","UpDown","DownDown"
"ENST00000322623",0.0319224047683002,342.666666666667,79.5885251360605,350.333333333333,59.9694366601299,0.282171338301285,1,0.882151648900366,431.333333333333,119.558911559671,795,315.030157286568,4.32495831287098e-05,0.0156622467630196,0,0,1,0,0,0,0,0
"ENST00000367573",-0.435679833359064,539.666666666667,97.1716693966576,399,70.4911341943084,0.00294112511835073,0.459449878782358,0.217753526532927,237.333333333333,93.5752816364094,276,128.487353463288,0.000404125491082351,0.0731742678966611,0,0,1,0,0,0,0,0
"ENST00000350763",0.305036315488589,126,17.7763888346312,155.666666666667,28.2901631902917,0.0032043497253599,0.481680269093252,1.00126718940153,189.666666666667,73.8669975925199,379.666666666667,149.590552286344,0.000142111288518462,0.0353812698633309,0,0,1,0,0,0,0,0
"ENST00000290378",-0.504390581932783,954.666666666667,133.087690389958,673,165.447876988494,6.07725619244074e-06,0.00484175000851754,0.21636815911304,605.666666666667,194.423078191179,703.666666666667,247.689994415062,6.96736647695756e-06,0.00396492919442292,0,1,1,0,0,1,0,0
"ENST00000355693",-0.629103360175354,326.333333333333,73.7111479583199,211,45.0444225182208,8.33122932675253e-07,0.000737498933847082,-0.14277525327308,219.333333333333,36.9368831025756,198.666666666667,61.7845719685209,5.96485423542838e-10,1.18804984234145e-06,0,1,0,1,0,0,0,1
"ENST00000393386",-0.166695120256299,650.666666666667,144.015045510298,579.666666666667,54.9302588136387,0.496808036985085,1,0.319187678641364,1440.33333333333,393.535682414357,1797,711.215157318796,0.000169036750404768,0.0396092879551408,0,0,1,0,0,0,0,0
"ENST00000290913",0.105116705814214,114.666666666667,18.5022521151706,123.333333333333,32.6241219549789,0.240123149701617,1,1.08373888155042,83.6666666666667,27.3007936392577,177.333333333333,78.8310429547481,4.23345040681374e-05,0.0156622467630196,0,0,1,0,0,0,0,0
"ENST00000319449",-0.145229173489669,181,50.0899191454728,163.666666666667,22.8108161479008,0.745612232376084,1,1.05476580343089,112,30.7896086366813,232.666666666667,87.688843836222,2.37855997553537e-05,0.0099736775395212,0,0,1,0,0,0,0,0
"ENST00000001008",0,618,138.141232077899,618,163.804761835546,0.443016146873341,1,0.873155337480774,532.666666666667,138.536397142893,975.666666666667,276.731518503645,0.000391146706832787,0.072471297984577,0,0,1,0,0,0,0,0
"ENST00000368010",-0.173952066278695,478.333333333333,142.791222886189,424,65.5057249406493,0.557634564497136,1,0.935712620874088,348,99.1362698511498,665.666666666667,234.745251993162,0.000222206893317635,0.0478465491638269,0,0,1,0,0,0,0,0
"ENST00000645694",0.25322678790721,410,65.8255269633294,488.666666666667,61.6143922580864,0.00028590334782189,0.0892071827989087,0.944257448073003,343,114.529472189476,660,300.019999333378,1.08080227597543e-05,0.00501412839755727,1,0,1,0,1,0,0,0
"ENST00000304062",0.0639480892112786,573.666666666667,80.0645572855638,599.666666666667,160.266444814045,0.192028335807495,1,1.05291153103844,116,29.8663690461362,240.666666666667,74.6614581516684,0.00021462225415956,0.0474970971913672,0,0,1,0,0,0,0,0
"ENST00000215659",-0.0623232789718313,181.333333333333,22.8108161479008,173.666666666667,71.5984171147193,0.958938519304122,1,1.08453351021167,77.3333333333333,23.0289672658878,164,50.2095608425328,0.000310756742053047,0.0612603718415543,0,0,1,0,0,0,0,0
"ENST00000434581",-0.0511787239255629,124.333333333333,20.1080415091409,120,7.81024967590665,0.769962040937635,1,0.181561578813379,114.333333333333,28.1484161780611,129.666666666667,60.9125055578354,0.000315259852579858,0.0612603718415543,0,0,1,0,0,0,0,0
"ENST00000248566",-0.255950477457826,514.666666666667,138.225660907566,431,88.4590300647707,0.185636079200585,1,1.16197766081786,209,42.5793377120875,467.666666666667,131.188160034865,2.32674908005592e-06,0.00154476749340046,0,0,1,0,0,0,0,0
"ENST00000310571",-0.758260372529434,303.333333333333,41.1015003781289,179.333333333333,24.8461935381123,1.13866651873993e-09,1.51195935913351e-06,0.178721949679471,290.666666666667,99.8515564892873,329,152.915009073668,7.7138673646412e-06,0.00409709208627309,0,1,1,0,0,1,0,0
"ENST00000524240",0.089603460889946,171.666666666667,30.171730698343,182.666666666667,37.1662929727103,0.140607442890304,1,1.03133796653301,197.333333333333,75.2617654146734,403.333333333333,179.444513243881,6.53597560195818e-06,0.00396492919442292,0,0,1,0,0,0,0,0
"ENST00000398594",0.289506617194985,279,37.9868398264452,341,65.7951365983839,0.000333438399508309,0.0916035768580242,0.879427744094345,413.666666666667,134.526329517063,761,343.004373149964,0.000334395341575638,0.0634316115793597,1,0,1,0,1,0,0,0
"ENST00000280258",-0.473567055306529,880.333333333333,191.505439435368,634,134.877722400699,2.74173758310223e-05,0.0168026333265965,0.338240750022968,598,170.554976473863,756,297.097627052119,0.000234731345526961,0.0492132797319289,0,1,1,0,0,1,0,0
"ENST00000367734",-0.472337305661068,1038.66666666667,214.047502515991,748.666666666667,223.877942936175,0.000206487440239958,0.0709289616314786,0.3373351422856,801,222.108081798029,1012,420.743389728229,0.000107389505999881,0.0285190731433683,0,1,1,0,0,1,0,0
"ENST00000354546",-0.0104606745249091,553.666666666667,99.3042463006156,549.666666666667,87.7971146071062,0.426142930532997,1,0.830925393537152,636,190.832387188339,1131.33333333333,375.915327345578,0.000522542872197229,0.0911980888685369,0,0,1,0,0,0,0,0
"ENST00000369500",0.0910318468093075,1607,164.593438508344,1711.66666666667,149.346353599053,0.100241680420952,1,0.0744248411265547,113.333333333333,29.2631736715848,119.333333333333,35.2325606979302,8.86779017337398e-05,0.025232030111168,0,0,1,0,0,0,0,0
"ENST00000249806",-0.272898033917815,332.666666666667,57.9511288357124,275.333333333333,78.621455934963,0.0869825811696193,1,0.200348401164005,179,48.8159809898357,205.666666666667,95.7096303061157,4.64364343518539e-05,0.0160851770644009,0,0,1,0,0,0,0,0
"ENST00000201647",-0.193190898634028,377.666666666667,74.8954827298238,330.333333333333,70.7413127764345,0.302793586075682,1,0.974770451583681,182.666666666667,51.6365503624451,359,103.203682104855,0.000114948152969395,0.0295416753131345,0,0,1,0,0,0,0,0
