undefinedGO type	GO ID	GO term	Level	Occ. Ref.	Freq. Ref.	Occ. set	Freq. set	Ratio	E/D	Pval.	Pval. Bonferroni	Pval. BH	P(A|B)%	P(B|A)%
biological_process  	 GO:0007420  	brain development  	4, 5, 6, 7	706 	0.040329  	22   	0.100917  	2.5x  	E  	4.880568e-05  	0.14905254672  	0.113867755913402  	 	 
biological_process  	 GO:0060322  	head development  	3	749 	0.042785  	22   	0.100917  	2.36x  	E  	0.0001102202  	0.3366124908  	0.113867755913402  	 	 
biological_process  	 GO:0007399  	nervous system development  	4, 5	2268 	0.129556  	47   	0.215596  	1.66x  	E  	0.0001304699  	0.3984550746  	0.113867755913402  	 	 
biological_process  	 GO:0007417  	central nervous system development  	4, 5, 6	931 	0.053182  	25   	0.114679  	2.16x  	E  	0.0001491392  	0.4554711168  	0.113867755913402  	 	 
biological_process  	 GO:0021953  	central nervous system neuron differentiation  	5, 6, 7, 8, 9	180 	0.010282  	9   	0.041284  	4.01x  	E  	0.0003453577  	1  	0.13559852626662  	 	 
biological_process  	 GO:0006955  	immune response  	2	2151 	0.122872  	12   	0.055046  	2.23x  	D  	0.0003695541  	1  	0.13559852626662  	 	 
biological_process  	 GO:0098916  	anterograde trans-synaptic signaling  	5, 6	612 	0.034959  	18   	0.082569  	2.36x  	E  	0.0004284151  	1  	0.13559852626662  	 	 
biological_process  	 GO:0007268  	chemical synaptic transmission  	6, 7	612 	0.034959  	18   	0.082569  	2.36x  	E  	0.0004284151  	1  	0.13559852626662  	 	 
biological_process  	 GO:0099537  	trans-synaptic signaling  	4, 5	614 	0.035074  	18   	0.082569  	2.35x  	E  	0.000444003  	1  	0.13559852626662  	 	 
biological_process  	 GO:0099536  	synaptic signaling  	3, 4	614 	0.035074  	18   	0.082569  	2.35x  	E  	0.000444003  	1  	0.13559852626662  	 	 
biological_process  	 GO:0015893  	drug transport  	4	194 	0.011082  	9   	0.041284  	3.72x  	E  	0.0005803368  	1  	0.152972952731684  	 	 
biological_process  	 GO:0043523  	regulation of neuron apoptotic process  	5, 6, 7	195 	0.011139  	9   	0.041284  	3.71x  	E  	0.0006010725  	1  	0.152972952731684  	 	 
biological_process  	 GO:0036343  	psychomotor behavior  	3	4 	0.000228  	2   	0.009174  	40.06x  	E  	0.0009035101  	1  	0.212255380198411  	 	 
biological_process  	 GO:0007267  	cell-cell signaling  	2, 3	1600 	0.091397  	33   	0.151376  	1.66x  	E  	0.001289338  	1  	0.236938970727218  	 	 
biological_process  	 GO:0051402  	neuron apoptotic process  	4, 5	219 	0.01251  	9   	0.041284  	3.3x  	E  	0.001303038  	1  	0.236938970727218  	 	 
biological_process  	 GO:0061744  	motor behavior  	2	5 	0.000286  	2   	0.009174  	31.97x  	E  	0.001487266  	1  	0.236938970727218  	 	 
biological_process  	 GO:0032504  	multicellular organism reproduction  	2	820 	0.046841  	2   	0.009174  	5.11x  	D  	0.001572455  	1  	0.236938970727218  	 	 
biological_process  	 GO:0009888  	tissue development  	3	1954 	0.111619  	12   	0.055046  	2.03x  	D  	0.001636349  	1  	0.236938970727218  	 	 
