undefinedGO type	GO ID	GO term	Level	Occ. Ref.	Freq. Ref.	Occ. set	Freq. set	Ratio	E/D	Pval.	Pval. Bonferroni	Pval. BH	P(A|B)%	P(B|A)%
biological_process  	 GO:0016339  	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules  	5	16 	0.001766  	2   	0.222222  	125.76x  	E  	0.0001041819  	0.0994937145  	0.0675980336835943  	 	 
biological_process  	 GO:0050918  	positive chemotaxis  	4, 5	19 	0.002098  	2   	0.222222  	105.87x  	E  	0.0001481146  	0.141449443  	0.0675980336835943  	 	 
cellular_component  	 GO:0031225  	anchored component of membrane  	3, 4	46 	0.004886  	2   	0.25  	51.16x  	E  	0.0006358017  	0.082654221  	0.082654221724805  	 	 
biological_process  	 GO:0040011  	locomotion  	1	875 	0.0966  	5   	0.555556  	5.75x  	E  	0.0007001747  	0.6686668385  	0.0675980336835943  	 	 
biological_process  	 GO:0009653  	anatomical structure morphogenesis  	2, 3	1408 	0.155443  	6   	0.666667  	4.29x  	E  	0.0007087812  	0.676886046  	0.0675980336835943  	 	 
molecular_function  	 GO:0008131  	primary amine oxidase activity  	5	1 	0.000108  	1   	0.111111  	1019.37x  	E  	0.0009706644  	0.0912424536  	0.0683137819171357  	 	 
biological_process  	 GO:0061218  	negative regulation of mesonephros development  	4, 5, 6, 7, 8, 9, 10	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:1905243  	cellular response to 3,3",5-triiodo-L-thyronine  	6, 7	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0090191  	negative regulation of branching involved in ureteric bud morphogenesis  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:2000729  	positive regulation of mesenchymal cell proliferation involved in ureter development  	3, 4, 5, 6, 7, 8, 9, 10	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0055095  	lipoprotein particle mediated signaling  	3, 4, 5	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0072199  	regulation of mesenchymal cell proliferation involved in ureter development  	4, 5, 6, 7, 8, 9	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0072198  	mesenchymal cell proliferation involved in ureter development  	3, 5, 6, 7, 8	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0055096  	low-density lipoprotein particle mediated signaling  	4, 5, 6, 7	1 	0.00011  	1   	0.111111  	1001x  	E  	0.0009935968  	0.948884944  	0.0675980336835943  	 	 
biological_process  	 GO:0006928  	movement of cell or subcellular component  	2	1010 	0.111504  	5   	0.555556  	4.98x  	E  	0.00134442  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0006935  	chemotaxis  	3, 4	269 	0.029698  	3   	0.333333  	11.22x  	E  	0.001819738  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0042330  	taxis  	2, 3	270 	0.029808  	3   	0.333333  	11.18x  	E  	0.001838928  	1  	0.0675980336835943  	 	 
molecular_function  	 GO:0016167  	glial cell-derived neurotrophic factor receptor activity  	5	2 	0.000216  	1   	0.111111  	512.03x  	E  	0.001939654  	0.182327476  	0.0683137819171357  	 	 
biological_process  	 GO:0060681  	branch elongation involved in ureteric bud branching  	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072107  	positive regulation of ureteric bud formation  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0032796  	uropod organization  	5	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:1905242  	response to 3,3",5-triiodo-L-thyronine  	5, 6	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:1902766  	skeletal muscle satellite cell migration  	4, 5	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072106  	regulation of ureteric bud formation  	5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:1905278  	positive regulation of epithelial tube formation  	3, 4, 5, 6, 7, 8, 9	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072172  	mesonephric tubule formation  	6, 7, 8, 9, 10, 11, 12, 13	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0060676  	ureteric bud formation  	7, 8, 9, 10, 11, 12, 13, 14	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072193  	ureter smooth muscle cell differentiation  	6, 7, 8, 9	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072095  	regulation of branch elongation involved in ureteric bud branching  	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0033141  	positive regulation of peptidyl-serine phosphorylation of STAT protein  	8, 9, 10, 11, 12	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072191  	ureter smooth muscle development  	5, 6, 7, 8	2 	0.000221  	1   	0.111111  	500.5x  	E  	0.001985438  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0009308  	amine metabolic process  	4	78 	0.008611  	2   	0.222222  	25.8x  	E  	0.002484518  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0044106  	cellular amine metabolic process  	4, 5	78 	0.008611  	2   	0.222222  	25.8x  	E  	0.002484518  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0016477  	cell migration  	3, 4	676 	0.07463  	4   	0.444444  	5.96x  	E  	0.002636039  	1  	0.0675980336835943  	 	 
molecular_function  	 GO:0055100  	adiponectin binding  	3	3 	0.000324  	1   	0.111111  	341.88x  	E  	0.002906969  	0.273255086  	0.0683137819171357  	 	 
molecular_function  	 GO:0032036  	myosin heavy chain binding  	5	3 	0.000324  	1   	0.111111  	341.88x  	E  	0.002906969  	0.273255086  	0.0683137819171357  	 	 
biological_process  	 GO:0008582  	regulation of synaptic growth at neuromuscular junction  	4, 5, 6, 7, 8	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0061055  	myotome development  	3, 5, 6	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0019336  	phenol-containing compound catabolic process  	5	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0072513  	positive regulation of secondary heart field cardioblast proliferation  	3, 4, 5, 6, 7, 8, 9, 10, 11, 12	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0019614  	catechol-containing compound catabolic process  	6	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0042424  	catecholamine catabolic process  	5, 7	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0042420  	dopamine catabolic process  	5, 6, 8	3 	0.000331  	1   	0.111111  	334.67x  	E  	0.002975527  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0002009  	morphogenesis of an epithelium  	4, 5	321 	0.035438  	3   	0.333333  	9.41x  	E  	0.002989434  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0033002  	muscle cell proliferation  	2	86 	0.009494  	2   	0.222222  	23.4x  	E  	0.003005133  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0007156  	homophilic cell adhesion via plasma membrane adhesion molecules  	5	87 	0.009605  	2   	0.222222  	23.13x  	E  	0.003073442  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0043524  	negative regulation of neuron apoptotic process  	5, 6, 7, 8	91 	0.010046  	2   	0.222222  	22.12x  	E  	0.003353783  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0051674  	localization of cell  	2	735 	0.081144  	4   	0.444444  	5.48x  	E  	0.003558626  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0048870  	cell motility  	2, 3	735 	0.081144  	4   	0.444444  	5.48x  	E  	0.003558626  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0098609  	cell-cell adhesion  	3	348 	0.038419  	3   	0.333333  	8.68x  	E  	0.003741629  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0061551  	trigeminal ganglion development  	6, 7, 8, 9	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0060677  	ureteric bud elongation  	4, 5, 7, 8, 9, 10, 11, 12, 13, 14	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0033139  	regulation of peptidyl-serine phosphorylation of STAT protein  	7, 8, 9, 10, 11	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0043320  	natural killer cell degranulation  	4, 6, 7, 8, 9	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0071699  	olfactory placode morphogenesis  	4, 5, 6	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0061502  	early endosome to recycling endosome transport  	5, 6	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0035860  	glial cell-derived neurotrophic factor receptor signaling pathway  	6, 7, 8	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
biological_process  	 GO:0030910  	olfactory placode formation  	4, 5, 6, 7, 8	4 	0.000442  	1   	0.111111  	250.81x  	E  	0.003963864  	1  	0.0675980336835943  	 	 
