undefinedGO type	GO ID	GO term	Level	Occ. Ref.	Freq. Ref.	Occ. set	Freq. set	Ratio	E/D	Pval.	Pval. Bonferroni	Pval. BH	P(A|B)%	P(B|A)%
biological_process  	 GO:0015810  	aspartate transmembrane transport  	7, 8, 9, 10	3 	0.000331  	1   	0.125  	376.51x  	E  	0.002645497  	1  	0.195262085851838  	 	 
biological_process  	 GO:0006068  	ethanol catabolic process  	5, 6, 7	4 	0.000442  	1   	0.125  	282.17x  	E  	0.003524603  	1  	0.195262085851838  	 	 
biological_process  	 GO:0034310  	primary alcohol catabolic process  	5, 6	4 	0.000442  	1   	0.125  	282.17x  	E  	0.003524603  	1  	0.195262085851838  	 	 
biological_process  	 GO:0070778  	L-aspartate transmembrane transport  	5, 8, 9, 10, 11	4 	0.000442  	1   	0.125  	282.17x  	E  	0.003524603  	1  	0.195262085851838  	 	 
biological_process  	 GO:0061042  	vascular wound healing  	5, 6, 7, 8, 9, 10, 11, 12	4 	0.000442  	1   	0.125  	282.17x  	E  	0.003524603  	1  	0.195262085851838  	 	 
biological_process  	 GO:0019800  	peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan  	5, 6, 7, 8, 9	5 	0.000552  	1   	0.125  	226.04x  	E  	0.004402347  	1  	0.195262085851838  	 	 
biological_process  	 GO:0002480  	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent  	6	5 	0.000552  	1   	0.125  	226.04x  	E  	0.004402347  	1  	0.195262085851838  	 	 
biological_process  	 GO:0098712  	L-glutamate import across plasma membrane  	5, 6, 7, 8, 9, 10, 11, 12	5 	0.000552  	1   	0.125  	226.04x  	E  	0.004402347  	1  	0.195262085851838  	 	 
biological_process  	 GO:0006067  	ethanol metabolic process  	5, 6	6 	0.000662  	1   	0.125  	188.54x  	E  	0.005278732  	1  	0.195262085851838  	 	 
biological_process  	 GO:0051938  	L-glutamate import  	5, 7, 8, 9, 10	6 	0.000662  	1   	0.125  	188.54x  	E  	0.005278732  	1  	0.195262085851838  	 	 
biological_process  	 GO:0015740  	C4-dicarboxylate transport  	8, 9	7 	0.000773  	1   	0.125  	161.5x  	E  	0.006153758  	1  	0.195262085851838  	 	 
biological_process  	 GO:0089718  	amino acid import across plasma membrane  	6, 7, 8, 9, 10	8 	0.000883  	1   	0.125  	141.4x  	E  	0.007027427  	1  	0.195262085851838  	 	 
biological_process  	 GO:0007263  	nitric oxide mediated signal transduction  	5, 6, 7	8 	0.000883  	1   	0.125  	141.4x  	E  	0.007027427  	1  	0.195262085851838  	 	 
biological_process  	 GO:0051923  	sulfation  	4	8 	0.000883  	1   	0.125  	141.4x  	E  	0.007027427  	1  	0.195262085851838  	 	 
