counts	instances_pre	instances_post
1	1145835	1049110
2	118290	129035
3	10610	16966
4	1225	3640
5	265	1537
6	111	798
7	61	507
8	38	309
9	17	209
10	10	163
11	10	133
12	7	117
13	4	90
14	5	68
15	3	55
16	2	52
17	0	41
18	1	36
19	0	34
20	0	27
21	0	22
22	1	26
23	0	20
24	0	18
25	0	14
26	1	16
27	0	8
28	0	14
29	0	10
30	0	9
31	0	9
32	0	7
33	0	8
34	0	8
35	0	4
36	0	3
37	0	5
38	0	6
39	0	5
40	0	3
41	0	3
42	0	2
43	0	2
44	0	5
45	0	1
46	0	6
47	0	5
48	0	4
49	0	1
50	0	2
51	0	2
52	0	3
53	0	5
54	0	2
55	0	3
56	0	2
57	0	2
58	0	1
59	0	1
60	0	2
61	0	5
62	0	2
63	0	3
64	0	2
66	0	1
67	0	1
69	0	1
70	0	4
72	0	1
74	0	4
75	0	1
76	0	2
78	0	3
79	0	2
80	0	1
81	0	1
83	0	1
85	0	2
86	0	2
87	0	1
88	0	2
90	0	1
91	0	1
92	0	1
96	0	1
97	0	1
99	0	1
102	0	1
105	0	1
106	0	1
111	0	1
114	0	2
116	0	2
120	0	1
127	0	1
129	0	1
130	0	1
132	0	2
133	0	1
135	0	1
137	0	1
138	0	1
140	0	1
142	0	1
158	0	1
162	0	1
168	0	1
170	0	1
175	0	1
184	0	1
204	0	1
210	0	1
222	0	1
224	0	1
261	0	1
332	0	1
368	0	1
373	0	1
417	0	1
479	0	1
