tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3	hiND14_wt_rep1_RNA	hiND14_wt_rep3_RNA	hiND14_Nterm_rep2_RNA	hiND14_wt_rep2_RNA	hiND14_Nterm_rep3_RNA	hiND14_Nterm_rep1_RNA
ENST00000297405	107.0	145.0	115.0	104.0	138.0	192.0	244.0	264.0	213.0	197.0	235.0	219.0
ENST00000446961	214.0	326.0	298.0	233.0	214.0	319.0	857.0	827.0	592.0	706.0	722.0	665.0
ENST00000377175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000336726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0
ENST00000342380	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0
ENST00000259154	870.0	1088.0	805.0	719.0	753.0	827.0	1453.0	1469.0	1154.0	1313.0	1259.0	1117.0
ENST00000347869	3329.0	4273.0	3663.0	3191.0	3062.0	3752.0	3313.0	3683.0	2892.0	3239.0	3521.0	2812.0
ENST00000318059	26.0	34.0	27.0	26.0	20.0	42.0	203.0	221.0	189.0	187.0	174.0	206.0
ENST00000375299	703.0	977.0	774.0	728.0	688.0	874.0	1417.0	1404.0	1109.0	1194.0	1064.0	989.0
ENST00000674895	508.0	625.0	510.0	475.0	442.0	555.0	899.0	984.0	651.0	796.0	744.0	709.0
ENST00000314574	738.0	918.0	654.0	534.0	584.0	610.0	1511.0	1513.0	1038.0	1418.0	941.0	983.0
ENST00000389614	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ENST00000300853	447.0	642.0	513.0	474.0	411.0	527.0	794.0	832.0	611.0	728.0	689.0	647.0
ENST00000313871	0.0	0.0	0.0	0.0	0.0	0.0	1187.0	1166.0	892.0	1076.0	962.0	917.0
ENST00000437192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ENST00000323030	7.0	6.0	2.0	1.0	1.0	4.0	4.0	11.0	3.0	3.0	0.0	1.0
ENST00000310300	441.0	657.0	535.0	435.0	450.0	505.0	866.0	924.0	631.0	733.0	621.0	660.0
ENST00000280325	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
