tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3
ENST00000000233	2193.0	2681.0	2483.0	2059.0	2411.0	2731.0
ENST00000000412	1298.0	1701.0	1295.0	1129.0	1215.0	1314.0
ENST00000000442	146.0	165.0	111.0	131.0	121.0	138.0
ENST00000001008	3393.0	4242.0	3489.0	3369.0	3062.0	3475.0
ENST00000001146	22.0	32.0	20.0	35.0	17.0	34.0
ENST00000002125	218.0	357.0	267.0	201.0	242.0	301.0
ENST00000002165	615.0	859.0	648.0	492.0	606.0	596.0
ENST00000002501	136.0	205.0	182.0	195.0	162.0	232.0
ENST00000002596	30.0	53.0	31.0	22.0	26.0	30.0
ENST00000002829	344.0	477.0	319.0	284.0	253.0	325.0
ENST00000003084	103.0	108.0	83.0	98.0	116.0	129.0
ENST00000003100	685.0	967.0	862.0	861.0	835.0	1043.0
ENST00000004103	76.0	76.0	51.0	33.0	35.0	27.0
ENST00000004982	0.0	0.0	0.0	1.0	2.0	0.0
ENST00000005178	46.0	52.0	44.0	30.0	39.0	26.0
ENST00000005226	42.0	53.0	35.0	28.0	27.0	22.0
ENST00000005257	1591.0	2006.0	1567.0	1621.0	1583.0	1595.0
ENST00000005259	13.0	13.0	9.0	8.0	10.0	16.0
ENST00000005260	619.0	776.0	530.0	444.0	468.0	431.0
ENST00000005284	40.0	56.0	41.0	41.0	29.0	54.0
ENST00000005340	725.0	971.0	740.0	643.0	635.0	671.0
ENST00000005386	1286.0	1504.0	1185.0	1133.0	1167.0	1510.0
ENST00000005995	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000006015	3.0	1.0	1.0	0.0	3.0	0.0
ENST00000006053	68.0	78.0	45.0	16.0	26.0	16.0
ENST00000006658	126.0	185.0	148.0	101.0	114.0	115.0
ENST00000006750	1.0	3.0	1.0	2.0	3.0	1.0
ENST00000006777	1414.0	2065.0	1719.0	1541.0	1671.0	1995.0
ENST00000007264	193.0	261.0	190.0	199.0	188.0	232.0
ENST00000007390	444.0	731.0	551.0	535.0	570.0	627.0
ENST00000007414	167.0	204.0	175.0	134.0	128.0	158.0
ENST00000007510	845.0	1299.0	1108.0	1065.0	979.0	1257.0
