tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3
ENST00000000233	2575.0	3115.0	2845.0	2390.0	2740.0	3128.0
ENST00000000412	1569.0	2082.0	1625.0	1431.0	1500.0	1645.0
ENST00000000442	188.0	210.0	150.0	167.0	157.0	177.0
ENST00000001008	3682.0	4659.0	3830.0	3678.0	3356.0	3848.0
ENST00000001146	22.0	33.0	20.0	35.0	18.0	34.0
ENST00000002125	247.0	378.0	293.0	221.0	256.0	333.0
ENST00000002165	671.0	949.0	710.0	558.0	666.0	684.0
ENST00000002501	226.0	370.0	345.0	352.0	317.0	457.0
ENST00000002596	50.0	69.0	55.0	32.0	42.0	50.0
ENST00000002829	364.0	503.0	331.0	305.0	276.0	334.0
ENST00000003084	107.0	114.0	86.0	104.0	124.0	139.0
ENST00000003100	1094.0	1517.0	1345.0	1404.0	1331.0	1686.0
ENST00000004103	83.0	88.0	62.0	38.0	42.0	34.0
ENST00000004982	1.0	0.0	0.0	1.0	2.0	0.0
ENST00000005178	50.0	60.0	54.0	31.0	42.0	31.0
ENST00000005226	48.0	62.0	43.0	33.0	28.0	26.0
ENST00000005257	2008.0	2569.0	2067.0	2069.0	1992.0	2090.0
ENST00000005259	19.0	27.0	23.0	19.0	19.0	24.0
ENST00000005260	733.0	955.0	699.0	536.0	592.0	540.0
ENST00000005284	83.0	106.0	81.0	77.0	45.0	84.0
ENST00000005340	787.0	1071.0	825.0	725.0	721.0	745.0
ENST00000005386	1406.0	1613.0	1284.0	1206.0	1249.0	1617.0
ENST00000005995	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000006015	3.0	2.0	1.0	0.0	3.0	0.0
ENST00000006053	70.0	84.0	51.0	18.0	27.0	18.0
ENST00000006658	134.0	192.0	152.0	104.0	118.0	120.0
ENST00000006750	1.0	5.0	1.0	2.0	3.0	1.0
ENST00000006777	1506.0	2204.0	1863.0	1651.0	1793.0	2149.0
ENST00000007264	216.0	312.0	224.0	231.0	229.0	273.0
ENST00000007390	483.0	799.0	616.0	600.0	645.0	707.0
ENST00000007414	207.0	262.0	221.0	171.0	181.0	213.0
ENST00000007510	906.0	1418.0	1236.0	1186.0	1088.0	1395.0
ENST00000007516	1811.0	2231.0	1925.0	1863.0	1802.0	2182.0
ENST00000007699	19.0	25.0	29.0	35.0	37.0	46.0
ENST00000008527	593.0	796.0	587.0	522.0	520.0	630.0
ENST00000009041	1078.0	1391.0	1167.0	1153.0	1144.0	1376.0
ENST00000009180	4075.0	4674.0	4142.0	3668.0	4160.0	3828.0
ENST00000009530	611.0	892.0	656.0	317.0	343.0	320.0
ENST00000009589	2350.0	2884.0	2567.0	2338.0	2477.0	2810.0
ENST00000011619	1716.0	2170.0	1739.0	1623.0	1608.0	1903.0
ENST00000011653	5.0	2.0	3.0	1.0	2.0	3.0
ENST00000011691	301.0	458.0	363.0	278.0	306.0	412.0
ENST00000011898	595.0	716.0	547.0	437.0	566.0	558.0
ENST00000012049	127.0	199.0	142.0	128.0	152.0	186.0
ENST00000012443	1557.0	2108.0	1630.0	1588.0	1527.0	1983.0
ENST00000013070	451.0	646.0	482.0	485.0	510.0	677.0
ENST00000013222	0.0	1.0	2.0	1.0	1.0	1.0
ENST00000014914	3066.0	3719.0	3013.0	2372.0	2865.0	2689.0
ENST00000014930	359.0	536.0	299.0	269.0	287.0	284.0
ENST00000016171	137.0	162.0	131.0	94.0	125.0	125.0
ENST00000016913	2.0	2.0	0.0	1.0	2.0	1.0
ENST00000017003	288.0	425.0	324.0	257.0	303.0	316.0
ENST00000019103	0.0	1.0	0.0	0.0	1.0	0.0
ENST00000020673	587.0	767.0	753.0	728.0	722.0	895.0
ENST00000020926	1322.0	1798.0	1596.0	1552.0	1594.0	1905.0
ENST00000020945	137.0	165.0	107.0	106.0	122.0	124.0
ENST00000022615	2897.0	3307.0	2862.0	2870.0	2804.0	3460.0
ENST00000023064	1.0	0.0	0.0	0.0	0.0	1.0
ENST00000025008	2198.0	2065.0	1973.0	1515.0	1842.0	2254.0
ENST00000025301	3870.0	4058.0	3568.0	3240.0	3434.0	4394.0
ENST00000027335	0.0	2.0	0.0	2.0	1.0	1.0
ENST00000029410	184.0	317.0	251.0	226.0	247.0	251.0
ENST00000035307	611.0	859.0	623.0	554.0	642.0	707.0
ENST00000037243	2490.0	3046.0	2683.0	2733.0	2522.0	2708.0
ENST00000038176	250.0	335.0	271.0	268.0	250.0	322.0
ENST00000039007	0.0	1.0	0.0	0.0	1.0	0.0
ENST00000039989	1342.0	1613.0	1346.0	1097.0	1241.0	1458.0
ENST00000040584	0.0	1.0	1.0	1.0	0.0	2.0
ENST00000040663	196.0	284.0	234.0	184.0	207.0	245.0
ENST00000040738	3625.0	3566.0	3689.0	3059.0	3330.0	4484.0
ENST00000040877	127.0	162.0	116.0	98.0	135.0	162.0
ENST00000042381	1855.0	2303.0	2062.0	1734.0	1921.0	2236.0
ENST00000043402	195.0	316.0	208.0	224.0	224.0	255.0
ENST00000044462	3561.0	3717.0	3167.0	3169.0	3252.0	3759.0
ENST00000046640	233.0	273.0	225.0	189.0	218.0	234.0
ENST00000053468	640.0	745.0	585.0	495.0	570.0	649.0
ENST00000053867	5316.0	7608.0	5869.0	4612.0	5049.0	4809.0
ENST00000054650	234.0	320.0	273.0	241.0	227.0	274.0
ENST00000054666	401.0	546.0	400.0	308.0	339.0	309.0
ENST00000054950	673.0	1054.0	834.0	737.0	783.0	825.0
ENST00000055077	423.0	541.0	409.0	337.0	384.0	451.0
ENST00000055335	193.0	259.0	272.0	254.0	262.0	326.0
ENST00000055682	514.0	588.0	565.0	546.0	554.0	810.0
ENST00000056217	258.0	341.0	250.0	187.0	245.0	212.0
ENST00000056233	1442.0	1574.0	1390.0	1200.0	1404.0	1385.0
ENST00000057513	3.0	5.0	0.0	2.0	1.0	4.0
ENST00000060969	630.0	947.0	723.0	630.0	638.0	801.0
ENST00000061240	10.0	8.0	11.0	12.0	5.0	11.0
ENST00000064571	8.0	6.0	6.0	1.0	2.0	5.0
ENST00000064724	4.0	7.0	2.0	0.0	5.0	3.0
ENST00000064780	103.0	178.0	136.0	125.0	139.0	172.0
ENST00000066544	1399.0	1631.0	1288.0	1265.0	1320.0	1615.0
ENST00000072644	808.0	1033.0	797.0	795.0	773.0	928.0
ENST00000072869	252.0	328.0	259.0	238.0	269.0	264.0
ENST00000075120	4529.0	5279.0	4682.0	4328.0	4590.0	4664.0
ENST00000075322	154.0	223.0	149.0	107.0	107.0	125.0
ENST00000075503	56.0	69.0	44.0	48.0	35.0	27.0
ENST00000078429	654.0	1037.0	804.0	794.0	912.0	948.0
ENST00000078445	1.0	2.0	2.0	2.0	0.0	2.0
ENST00000080059	275.0	406.0	326.0	264.0	275.0	286.0
ENST00000081029	1166.0	1398.0	1088.0	1082.0	1135.0	1294.0
ENST00000083182	1839.0	2217.0	1766.0	1663.0	1818.0	2168.0
ENST00000084798	831.0	1164.0	931.0	938.0	937.0	1020.0
ENST00000085219	0.0	3.0	4.0	1.0	1.0	0.0
ENST00000086933	2.0	2.0	0.0	1.0	2.0	0.0
ENST00000155093	134.0	153.0	151.0	121.0	124.0	154.0
ENST00000155840	2.0	5.0	6.0	4.0	0.0	2.0
ENST00000155926	1643.0	2454.0	1946.0	2005.0	1955.0	2425.0
ENST00000156109	803.0	1131.0	964.0	809.0	825.0	932.0
ENST00000156471	2073.0	2394.0	1950.0	1698.0	1799.0	2223.0
ENST00000156626	7.0	7.0	7.0	13.0	6.0	9.0
ENST00000157600	668.0	974.0	685.0	579.0	711.0	671.0
ENST00000157812	2706.0	3320.0	2955.0	2789.0	2935.0	3390.0
ENST00000158762	11.0	16.0	13.0	11.0	10.0	13.0
ENST00000158771	558.0	717.0	619.0	515.0	591.0	721.0
ENST00000159060	0.0	0.0	0.0	0.0	2.0	1.0
ENST00000159087	549.0	761.0	619.0	600.0	607.0	783.0
ENST00000159111	2657.0	3654.0	2968.0	2887.0	2777.0	3266.0
ENST00000160262	12.0	15.0	12.0	6.0	11.0	13.0
ENST00000160298	1330.0	1884.0	1780.0	1587.0	1724.0	2086.0
ENST00000160373	197.0	232.0	168.0	167.0	154.0	234.0
ENST00000160382	1365.0	1811.0	1717.0	1719.0	1838.0	2339.0
ENST00000160827	768.0	1066.0	876.0	697.0	687.0	857.0
ENST00000161006	121.0	175.0	115.0	85.0	80.0	63.0
ENST00000161559	420.0	522.0	404.0	361.0	378.0	333.0
ENST00000161863	623.0	772.0	592.0	578.0	658.0	827.0
ENST00000162044	185.0	274.0	203.0	178.0	209.0	244.0
ENST00000162330	1774.0	2289.0	1909.0	1628.0	1750.0	1898.0
ENST00000162391	512.0	788.0	579.0	561.0	605.0	702.0
ENST00000162749	1023.0	1281.0	949.0	912.0	966.0	991.0
ENST00000163416	1104.0	1405.0	1054.0	945.0	1009.0	1053.0
ENST00000164024	1916.0	2645.0	2410.0	2070.0	2161.0	2761.0
ENST00000164133	928.0	1420.0	1084.0	1100.0	1096.0	1244.0
ENST00000164139	52.0	72.0	51.0	60.0	45.0	61.0
ENST00000164227	88.0	101.0	77.0	74.0	68.0	70.0
ENST00000164305	68.0	82.0	65.0	82.0	76.0	82.0
ENST00000166139	70.0	111.0	76.0	81.0	91.0	103.0
ENST00000166244	195.0	260.0	193.0	188.0	179.0	203.0
ENST00000166345	52.0	80.0	56.0	40.0	46.0	58.0
ENST00000167106	499.0	815.0	691.0	622.0	602.0	865.0
ENST00000167586	2.0	1.0	2.0	4.0	5.0	8.0
ENST00000167588	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000168216	987.0	1421.0	1201.0	1081.0	1085.0	1265.0
ENST00000168712	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000168977	1.0	4.0	0.0	0.0	0.0	4.0
ENST00000169298	1030.0	1286.0	1163.0	983.0	1067.0	1390.0
ENST00000169551	316.0	355.0	275.0	286.0	288.0	331.0
ENST00000170168	503.0	686.0	556.0	505.0	515.0	647.0
ENST00000170447	629.0	866.0	640.0	534.0	576.0	662.0
ENST00000170564	259.0	322.0	289.0	279.0	258.0	334.0
ENST00000171111	512.0	660.0	589.0	528.0	530.0	678.0
ENST00000171757	0.0	0.0	0.0	1.0	0.0	0.0
ENST00000172229	3572.0	4736.0	3787.0	3434.0	3256.0	3760.0
ENST00000173229	963.0	1335.0	926.0	728.0	774.0	677.0
ENST00000173527	320.0	446.0	295.0	251.0	283.0	323.0
ENST00000173898	3850.0	4937.0	4234.0	3924.0	3964.0	5234.0
ENST00000174618	991.0	1369.0	1220.0	1222.0	1149.0	1342.0
ENST00000175091	5166.0	6031.0	5288.0	4721.0	5098.0	5334.0
ENST00000175756	103.0	135.0	122.0	96.0	79.0	134.0
ENST00000176183	6.0	5.0	10.0	2.0	6.0	6.0
ENST00000176195	0.0	0.0	1.0	0.0	0.0	0.0
ENST00000176643	1142.0	1536.0	1229.0	1134.0	1109.0	1388.0
ENST00000176763	689.0	842.0	680.0	508.0	573.0	554.0
ENST00000177694	0.0	0.0	1.0	0.0	0.0	1.0
ENST00000178638	5.0	7.0	5.0	5.0	6.0	5.0
ENST00000178640	524.0	692.0	531.0	428.0	425.0	530.0
ENST00000179259	419.0	463.0	445.0	401.0	370.0	411.0
ENST00000180166	1.0	4.0	2.0	2.0	3.0	6.0
ENST00000180173	1245.0	1601.0	1273.0	1190.0	1178.0	1585.0
ENST00000181383	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000181796	499.0	700.0	544.0	486.0	536.0	618.0
ENST00000181839	1142.0	1360.0	1181.0	1019.0	1034.0	1322.0
ENST00000182527	436.0	609.0	457.0	316.0	398.0	385.0
ENST00000184266	1729.0	2181.0	1938.0	1779.0	1680.0	1993.0
ENST00000184956	836.0	978.0	807.0	679.0	709.0	882.0
ENST00000185150	1024.0	1250.0	944.0	865.0	861.0	892.0
ENST00000186436	2119.0	2342.0	1982.0	1539.0	1752.0	1924.0
ENST00000187762	83.0	95.0	88.0	90.0	103.0	132.0
ENST00000187910	4.0	4.0	1.0	3.0	9.0	6.0
ENST00000188312	882.0	969.0	812.0	662.0	731.0	944.0
ENST00000188790	7.0	5.0	9.0	6.0	2.0	3.0
ENST00000190165	224.0	265.0	227.0	233.0	168.0	205.0
ENST00000190611	656.0	778.0	590.0	592.0	590.0	753.0
ENST00000192314	3.0	6.0	2.0	2.0	5.0	1.0
ENST00000192788	826.0	972.0	873.0	676.0	754.0	926.0
ENST00000193322	923.0	1298.0	939.0	870.0	941.0	1106.0
ENST00000193391	3.0	1.0	8.0	8.0	6.0	6.0
ENST00000194152	2.0	4.0	3.0	1.0	5.0	6.0
ENST00000194155	3101.0	3662.0	3486.0	3752.0	3693.0	4424.0
ENST00000194214	426.0	588.0	452.0	406.0	405.0	481.0
ENST00000194530	320.0	406.0	297.0	282.0	297.0	344.0
ENST00000196061	1080.0	1654.0	1236.0	921.0	980.0	1105.0
ENST00000196371	1846.0	2285.0	1951.0	1623.0	1781.0	2265.0
ENST00000196482	145.0	220.0	205.0	173.0	196.0	237.0
ENST00000196489	198.0	219.0	212.0	195.0	197.0	233.0
ENST00000196551	3231.0	3765.0	3253.0	3405.0	3385.0	3804.0
ENST00000197268	1238.0	1713.0	1350.0	1210.0	1339.0	1624.0
ENST00000198536	0.0	1.0	0.0	0.0	1.0	1.0
ENST00000198767	1722.0	2214.0	1745.0	1564.0	1806.0	2112.0
ENST00000199280	2.0	0.0	0.0	0.0	0.0	0.0
ENST00000199320	301.0	397.0	298.0	239.0	295.0	307.0
ENST00000199389	1651.0	1945.0	1585.0	1382.0	1523.0	1671.0
ENST00000199447	0.0	1.0	1.0	1.0	0.0	0.0
ENST00000199448	32.0	38.0	50.0	16.0	14.0	11.0
ENST00000199706	946.0	1379.0	1091.0	970.0	1016.0	1237.0
ENST00000199708	26.0	51.0	35.0	35.0	31.0	40.0
ENST00000199764	0.0	2.0	0.0	2.0	0.0	1.0
ENST00000199814	1191.0	1565.0	1262.0	1254.0	1243.0	1435.0
ENST00000199936	4.0	3.0	5.0	9.0	10.0	17.0
ENST00000200135	713.0	793.0	623.0	488.0	554.0	621.0
ENST00000200181	1009.0	1343.0	1140.0	776.0	960.0	841.0
ENST00000200453	500.0	707.0	674.0	567.0	563.0	712.0
