tx_id	hiND14_wt_rep1_RNA	hiND14_wt_rep3_RNA	hiND14_Nterm_rep2_RNA	hiND14_wt_rep2_RNA	hiND14_Nterm_rep3_RNA	hiND14_Nterm_rep1_RNA
ENST00000641515	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000426406	0.0	3.0	0.0	0.0	0.0	0.0
ENST00000332831	0	0	0	0	0	0
ENST00000616016	1150.0	1225.0	940.0	977.0	1189.0	948.0
ENST00000327044	2515.0	2438.0	1854.0	2259.0	2202.0	2131.0
ENST00000338591	233.0	206.0	171.0	173.0	231.0	184.0
ENST00000379410	253.0	215.0	183.0	186.0	153.0	167.0
ENST00000433179	0.0	0.0	1.0	0.0	0.0	2.0
ENST00000304952	571.0	607.0	367.0	477.0	474.0	424.0
ENST00000649529	1307.0	1131.0	724.0	1114.0	732.0	781.0
ENST00000379370	12049.0	11165.0	7184.0	10369.0	7496.0	7134.0
ENST00000453464	62.0	56.0	33.0	47.0	32.0	13.0
ENST00000421241	235.0	228.0	119.0	149.0	197.0	173.0
ENST00000379289	0.0	0.0	0.0	1.0	1.0	0.0
ENST00000379268	4.0	0.0	0.0	0.0	0.0	0.0
ENST00000379236	1.0	1.0	0.0	0.0	1.0	0.0
ENST00000360001	2166.0	2089.0	1555.0	1948.0	1524.0	1435.0
ENST00000379198	1214.0	1305.0	1084.0	1044.0	1193.0	1100.0
ENST00000330388	13.0	2.0	1.0	4.0	6.0	1.0
ENST00000349431	1148.0	1233.0	1020.0	1092.0	1088.0	1014.0
ENST00000379116	49.0	58.0	35.0	58.0	41.0	42.0
ENST00000354700	2940.0	3054.0	2312.0	2521.0	2883.0	2438.0
ENST00000379031	432.0	427.0	261.0	352.0	346.0	298.0
ENST00000435064	879.0	931.0	746.0	811.0	787.0	667.0
ENST00000343938	654.0	675.0	485.0	585.0	617.0	483.0
ENST00000339381	24.0	18.0	15.0	17.0	24.0	27.0
ENST00000378888	1452.0	1364.0	999.0	1191.0	1180.0	1032.0
ENST00000309212	770.0	661.0	225.0	686.0	245.0	205.0
ENST00000338338	1424.0	1352.0	935.0	1223.0	1036.0	1094.0
ENST00000400809	1457.0	1583.0	1368.0	1318.0	1601.0	1153.0
ENST00000344843	817.0	764.0	558.0	706.0	725.0	647.0
ENST00000537107	25.0	34.0	19.0	16.0	18.0	13.0
ENST00000378821	12.0	12.0	11.0	10.0	4.0	4.0
ENST00000476993	2569.0	2176.0	1162.0	2063.0	938.0	1127.0
ENST00000378785	72.0	57.0	35.0	52.0	39.0	26.0
ENST00000673477	233.0	273.0	230.0	246.0	253.0	184.0
ENST00000378756	654.0	732.0	548.0	566.0	529.0	518.0
ENST00000378733	197.0	233.0	158.0	184.0	181.0	167.0
ENST00000291386	2183.0	2117.0	1580.0	1822.0	1812.0	1682.0
ENST00000422725	474.0	455.0	333.0	348.0	450.0	401.0
ENST00000355826	983.0	967.0	722.0	781.0	826.0	670.0
ENST00000356026	36.0	18.0	17.0	37.0	19.0	15.0
ENST00000341832	1337.0	1251.0	911.0	1198.0	979.0	1028.0
ENST00000617444	6338.0	6988.0	5724.0	5774.0	6995.0	6018.0
ENST00000404249	653.0	608.0	456.0	528.0	469.0	423.0
ENST00000341426	1853.0	1934.0	1604.0	1690.0	1765.0	1467.0
ENST00000378609	21497.0	22506.0	17012.0	18827.0	20518.0	18493.0
ENST00000307786	4.0	1.0	1.0	1.0	0.0	1.0
ENST00000310991	15.0	6.0	2.0	6.0	6.0	15.0
ENST00000682832	3.0	2.0	0.0	2.0	1.0	1.0
ENST00000378585	1.0	1.0	1.0	0.0	2.0	1.0
ENST00000378567	1371.0	1271.0	887.0	1042.0	1065.0	946.0
ENST00000378546	660.0	622.0	368.0	556.0	486.0	441.0
ENST00000378536	2454.0	2268.0	1754.0	2164.0	2070.0	1814.0
ENST00000378531	65.0	76.0	42.0	77.0	68.0	69.0
ENST00000605895	2234.0	2217.0	1807.0	1954.0	1989.0	1794.0
ENST00000447513	457.0	458.0	325.0	428.0	374.0	414.0
ENST00000378486	135.0	139.0	143.0	124.0	119.0	118.0
ENST00000378466	661.0	673.0	497.0	567.0	578.0	522.0
ENST00000378453	1.0	0.0	1.0	5.0	0.0	2.0
ENST00000355716	1.0	3.0	1.0	1.0	0.0	0.0
ENST00000419916	1297.0	1339.0	926.0	978.0	1162.0	1110.0
ENST00000378412	1.0	4.0	3.0	3.0	3.0	2.0
ENST00000401095	27.0	25.0	20.0	27.0	45.0	19.0
ENST00000378404	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000270722	3.0	6.0	7.0	7.0	2.0	12.0
ENST00000378378	281.0	280.0	237.0	257.0	198.0	189.0
ENST00000356575	180.0	189.0	101.0	175.0	65.0	110.0
ENST00000378344	1877.0	1763.0	1255.0	1547.0	1408.0	1444.0
ENST00000270708	332.0	296.0	255.0	274.0	276.0	215.0
ENST00000378295	17.0	15.0	5.0	11.0	3.0	5.0
ENST00000294600	0.0	0.0	1.0	0.0	0.0	0.0
ENST00000642557	42.0	29.0	20.0	43.0	16.0	24.0
ENST00000378251	2294.0	2236.0	1645.0	1885.0	1819.0	1850.0
ENST00000378230	1305.0	1275.0	961.0	1112.0	1142.0	1090.0
ENST00000378209	130.0	139.0	171.0	144.0	170.0	120.0
ENST00000361605	335.0	315.0	263.0	300.0	274.0	300.0
ENST00000378191	603.0	678.0	509.0	559.0	636.0	532.0
ENST00000378156	316.0	268.0	256.0	256.0	302.0	261.0
ENST00000378083	672.0	683.0	473.0	509.0	537.0	512.0
ENST00000262450	238.0	248.0	281.0	230.0	378.0	249.0
ENST00000484532	8.0	0.0	0.0	0.0	0.0	0.0
ENST00000234875	7347.0	7504.0	5240.0	6334.0	5974.0	5819.0
ENST00000377939	58.0	61.0	68.0	65.0	53.0	63.0
ENST00000343813	2017.0	2079.0	1636.0	1939.0	1777.0	1641.0
ENST00000377898	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000377893	2542.0	2840.0	2123.0	2456.0	2647.0	2203.0
ENST00000361521	4367.0	4645.0	3475.0	3751.0	4345.0	3859.0
ENST00000377834	2310.0	2211.0	1615.0	2126.0	1498.0	1546.0
ENST00000645284	384.0	362.0	218.0	299.0	185.0	145.0
ENST00000356876	50.0	52.0	43.0	50.0	54.0	44.0
ENST00000377728	371.0	361.0	272.0	326.0	385.0	303.0
ENST00000377705	632.0	678.0	483.0	573.0	587.0	558.0
ENST00000333172	0.0	1.0	1.0	0.0	0.0	0.0
ENST00000377674	365.0	460.0	353.0	338.0	370.0	337.0
ENST00000377658	1020.0	874.0	711.0	808.0	747.0	728.0
ENST00000377648	1045.0	1053.0	755.0	871.0	843.0	841.0
ENST00000054650	264.0	257.0	191.0	262.0	250.0	211.0
ENST00000377577	1645.0	1660.0	1286.0	1402.0	1466.0	1308.0
